"question","categorie","difficulte","option_a","option_b","option_c","option_d","option_e","correct_option"
"Si les performances train et validation sont toutes deux faibles on suspecte souvent","machine learning","intermédiaire","Une fuite de données","Un fort surapprentissage","Un sous-apprentissage à fort biais","Une classe majoritaire unique","Un bug d'affichage","C"
"Le data leakage correspond à","machine learning","intermédiaire","Une réduction de dimension excessive","L'utilisation involontaire d'information du futur ou du test pendant l'entraînement","Un taux de manquants élevé","Une faible variance des features","Une mesure de latence","B"
"Que mesure l'importance par permutation d'une variable ?","machine learning","intermédiaire","La corrélation brute avec Y","La variance de la variable","Le nombre de modalités","La p-valeur du coefficient","La baisse de performance quand la variable est mélangée","E"
"À quoi servent les valeurs SHAP ?","machine learning","avancé","Expliquer la contribution locale des variables à une prédiction","Mesurer la stationnarité des features","Choisir automatiquement le nombre de classes","Détecter la cointégration","Normaliser les données","A"
"La calibration d'un classifieur probabiliste vise à","machine learning","avancé","Maximiser uniquement le rappel","Réduire le nombre de paramètres","Aligner probabilités prédites et fréquences observées","Rendre le modèle linéaire","Supprimer le seuil de décision","C"
"Pourquoi utiliser un split stratifié ?","machine learning","intermédiaire","Accélérer l'entraînement","Augmenter la dimension des features","Réduire les outliers","Conserver la proportion des classes dans chaque split","Augmenter le nombre d'échantillons","D"
"Pourquoi ajuster le seuil de décision d'un classifieur ?","machine learning","intermédiaire","Pour changer l'algorithme sans réentraîner","Pour optimiser une métrique ou un coût métier donné","Pour imposer une distribution gaussienne","Pour supprimer les faux négatifs","Pour éviter le preprocessing","B"
"Quel est l'avantage principal d'une tokenisation en sous-mots ?","NLP","intermédiaire","Mieux gérer les mots rares et inconnus","Réduire toutes les séquences à même longueur","Supprimer les stop words automatiquement","Éviter la normalisation","Remplacer les embeddings contextuels","A"
"Que désigne un token OOV ?","NLP","intermédiaire","Un token observé très fréquent","Un token de ponctuation","Un token absent du vocabulaire","Un token masqué au hasard","Un token de validation","C"
"À quoi sert un attention mask dans un modèle Transformer ?","NLP","intermédiaire","Compter les époques d'entraînement","Ignorer les positions de padding ou interdites","Mesurer la qualité de traduction","Créer des embeddings statiques","Sélectionner les hyperparamètres","B"
"L'architecture encodeur-décodeur est courante pour","NLP","intermédiaire","La détection d'anomalies tabulaires","La réduction de dimension en ACP","La classification binaire de séries","La traduction automatique séquence à séquence","La régression linéaire","D"
"Quel est l'intérêt du beam search par rapport au greedy decoding ?","NLP","avancé","Explorer plusieurs hypothèses de génération","Éliminer toute stochasticité","Réduire la taille du vocabulaire","Supprimer le besoin de modèle de langue","Forcer des sorties courtes","A"
"Le score ROUGE est surtout utilisé pour évaluer","NLP","intermédiaire","La classification d'images","Le résumé automatique","La détection de clusters","La segmentation audio","La calibration des probabilités","B"
"Dans Word2Vec le modèle CBOW prédit","NLP","intermédiaire","La phrase suivante","Le tag grammatical","Le mot central à partir du contexte","Le contexte à partir du mot central","La langue source","C"
"Dans Word2Vec le modèle Skip-gram prédit","NLP","intermédiaire","Le mot central à partir des caractères","Le mot suivant uniquement","La classe du document","Le contexte à partir du mot central","Le score BLEU","D"
"Quel est l'apport principal de fastText ?","NLP","intermédiaire","Utiliser des n-grammes de caractères","Remplacer la tokenisation","Supprimer les stop words automatiquement","Garantir des embeddings contextuels","Éviter tout prétraitement","A"
"La résolution de coréférence vise à","NLP","intermédiaire","Relier les mentions d'une même entité dans un texte","Calculer le score F1","Réduire le nombre de tokens","Détecter les erreurs typographiques","Compresser le vocabulaire","A"
"Le parsing de dépendances fournit","NLP","intermédiaire","Une matrice de confusion","Des relations grammaticales entre mots","Des probabilités calibrées","Un score de perplexité","Un cluster de documents","B"
"Dans le schéma BIO pour le NER que signifie le tag I ?","NLP","facile","Hors entité","Début d'entité","Intérieur d'entité","Entité imbriquée","Entité inconnue","C"
"Quel est un inconvénient classique du stemming ?","NLP","intermédiaire","Il est trop coûteux pour tout corpus","Il augmente la dimension","Il exige un GPU","Il peut produire des racines peu linguistiques","Il supprime tous les verbes","D"
"À quoi sert le lissage add-one dans un modèle n-gram ?","NLP","intermédiaire","Éviter des probabilités nulles pour des événements rares","Accélérer le beam search","Normaliser les embeddings","Générer des labels","Mesurer la diversité","A"
"Les embeddings contextuels se distinguent des embeddings statiques car","NLP","intermédiaire","Ils sont toujours de plus petite dimension","Ils dépendent du contexte d'usage du mot","Ils ne nécessitent pas de corpus","Ils sont calculés sans modèle","Ils sont uniquement en français","B"
"Pourquoi utiliser le negative sampling dans Word2Vec ?","NLP","avancé","Rendre les textes plus courts","Accélérer l'entraînement en approximant l'objectif complet","Éliminer les mots rares","Mesurer le rappel","Remplacer la lemmatisation","B"
"Le few-shot prompting consiste à","LLM","intermédiaire","Fournir quelques exemples dans le prompt","Modifier les poids du modèle en ligne","Supprimer le message system","Réduire la fenêtre de contexte","Remplacer le RAG","A"
"Le zero-shot prompting correspond à","LLM","intermédiaire","Un prompt avec données d'entraînement","Un fine-tuning léger","Une consigne sans exemple explicite","Une inférence avec labels","Un apprentissage supervisé","C"
"L'instruction tuning vise principalement à","LLM","intermédiaire","Réduire la mémoire GPU","Aligner le modèle sur des paires instruction-réponse","Augmenter la taille du vocabulaire","Remplacer la tokenisation","Créer des embeddings figés","B"
"Quel est un avantage majeur de LoRA ?","LLM","avancé","Augmenter le nombre total de paramètres","Supprimer le besoin de données","Imposer une architecture unique","Adapter un modèle avec peu de paramètres entraînés","Éviter toute validation","D"
"Quel est l'effet principal de la quantization d'un LLM ?","LLM","avancé","Réduire mémoire et coût d'inférence","Augmenter la fenêtre de contexte à l'infini","Supprimer les hallucinations","Remplacer le décodage probabiliste","Créer des labels","A"
"Quel est le rôle d'une base vectorielle en RAG ?","LLM","avancé","Stocker des séries temporelles","Calculer des p-valeurs","Indexer des embeddings pour recherche de similarité","Évaluer le score BLEU","Effectuer une ACP","C"
"Pourquoi utilise-t-on un recouvrement entre chunks dans RAG ?","LLM","avancé","Pour supprimer les doublons de documents","Pour réduire la taille des prompts","Pour éviter toute redondance","Pour augmenter la perplexité","Pour préserver le contexte aux frontières des segments","E"
"Quel est l'objectif d'une étape de reranking en RAG ?","LLM","avancé","Compresser les embeddings","Réordonner les documents récupérés par pertinence","Augmenter la température","Réduire la latence réseau","Générer des questions","B"
"À quoi servent les guardrails dans un système LLM ?","LLM","avancé","Imposer des contraintes de sécurité et de conformité","Augmenter la taille du modèle","Réduire le coût de stockage","Rendre la sortie toujours courte","Supprimer le besoin de monitoring","A"
"Le function calling permet surtout","LLM","intermédiaire","D'empêcher toute hallucination","De changer le tokenizer","D'augmenter la profondeur du réseau","De produire des sorties structurées et déclencher des outils externes","Réduire le coût mémoire","D"
"Quel indicateur est clé pour estimer le coût d'usage d'un LLM ?","LLM","intermédiaire","Le nombre de colonnes du dataset","La variance des logits","Le nombre de tokens en entrée et en sortie","Le score de silhouette","Le rang de la matrice","C"
"La latence perçue par un utilisateur correspond souvent à","LLM","intermédiaire","Le temps jusqu'au premier token affiché","Le nombre total de paramètres","La taille du corpus d'entraînement","Le nombre de couches d'attention","Le nombre d'appels API","A"
"Quel est l'objectif du speculative decoding ?","LLM","avancé","Réduire le besoin de prompts","Accélérer la génération de texte","Remplacer l'attention","Rendre le modèle causalement identifié","Supprimer la mémoire KV","B"
"Le cache KV est utilisé pour","LLM","avancé","Stocker les embeddings de documents","Calibrer les probabilités","Sélectionner des hyperparamètres","Réutiliser les clés et valeurs des tokens déjà traités","Réduire la taille du vocabulaire","D"
"Si la fenêtre de contexte est dépassée que se passe-t-il typiquement ?","LLM","intermédiaire","Le modèle s'arrête définitivement","La température devient nulle","Les poids sont réentraînés","Le modèle change de langue","Une partie du contexte ancien est tronquée","E"
"Pourquoi réaliser des évaluations humaines comparatives de sorties LLM ?","LLM","intermédiaire","Pour calculer la stationnarité des prompts","Pour remplacer toute métrique automatique","Pour juger la qualité relative sur des critères utiles au produit","Pour estimer la covariance des embeddings","Pour réduire la mémoire GPU","C"
"Quel est l'intérêt d'un agent outillé avec mémoire courte et longue ?","LLM","intermédiaire","Maintenir le contexte et orchestrer des outils sur plusieurs étapes","Supprimer toute latence","Remplacer les bases de données","Éviter les tests utilisateurs","Forcer des réponses déterministes","A"
"Que signifie KPI en analyse de données ?","statistiques","facile","Key Performance Indicator","Known Process Input","Kernel Performance Index","Key Prediction Input","Knowledge Processing Interface","A"
"Que mesure la moyenne d'une série ?","statistiques","facile","La valeur centrale additive des observations","Le nombre de classes","Le minimum de la série","La dispersion maximale","La corrélation entre variables","A"
"Quel indicateur sépare une série triée en deux moitiés ?","statistiques","facile","La médiane","La variance","Le mode conditionnel","Le kurtosis","Le VIF","A"
"Quelle valeur est la plus sensible aux outliers ?","statistiques","facile","La moyenne","La médiane","Le premier quartile","Le mode","L'écart interquartile","A"
"Que représente une proportion en pourcentage ?","statistiques","facile","Une part sur 100","Une variance normalisée","Une corrélation positive","Un écart-type","Un test d'hypothèse","A"
"Dans un histogramme l'axe horizontal représente en général","statistiques","facile","Les classes de valeurs","Le nombre de variables","Le score F1","La p-valeur","La matrice de confusion","A"
"Quel est le rôle principal d'un tableau croisé ?","statistiques","facile","Résumer les effectifs entre deux variables","Estimer une régression","Calculer une AUC","Projeter des embeddings","Tokeniser un texte","A"
"Que permet de faire la commande describe en analyse de données ?","analyse des données multivariée","facile","Obtenir des statistiques descriptives","Entraîner un réseau de neurones","Créer un test ADF","Décoder un prompt","Indexer une base vectorielle","A"
"Que signifie EDA dans un workflow data ?","analyse des données multivariée","facile","Analyse exploratoire des données","Estimation des données augmentées","Extraction de dépendances avancées","Échantillonnage dirigé automatique","Évaluation déterministe d'algorithmes","A"
"Pourquoi visualiser un nuage de points ?","analyse des données multivariée","facile","Observer une relation possible entre deux variables","Mesurer une p-valeur exacte","Calculer un embedding","Faire du stemming","Choisir un tokenizer","A"
"Quel graphique convient pour comparer des catégories ?","analyse des données multivariée","facile","Un diagramme en barres","Un spectrogramme","Une courbe ROC","Une heatmap d'attention","Un dendrogramme de tokens","A"
"Que fait une normalisation min-max ?","analyse des données multivariée","facile","Ramener les valeurs dans un intervalle cible","Supprimer les valeurs manquantes","Créer des clusters","Remplacer la validation croisée","Encoder les textes en JSONL","A"
"Quel est l'objectif d'un train-test split ?","machine learning","facile","Évaluer la généralisation du modèle","Augmenter le nombre de variables","Supprimer le bruit de mesure","Remplacer la métrique","Choisir la langue du modèle","A"
"Quel algorithme est souvent utilisé pour une tâche de classification ?","machine learning","facile","Random Forest","PCA","K-means","ACP","ARIMA","A"
"Que prédit une régression linéaire classique ?","machine learning","facile","Une valeur continue","Une étiquette de cluster obligatoire","Une traduction de phrase","Un arbre de décision","Une matrice d'attention","A"
"Que signifie overfitting ?","machine learning","facile","Le modèle apprend trop le train et généralise mal","Le modèle est trop simple","Le modèle manque de données de test","Le modèle ne converge jamais","Le modèle est non supervisé","A"
"Quel est le rôle d'une feature ?","machine learning","facile","Variable d'entrée utilisée par le modèle","Variable cible uniquement","Sortie du modèle","Poids entraînable","Score de validation","A"
"Quel est l'intérêt de la validation croisée ?","machine learning","facile","Obtenir une estimation plus robuste de la performance","Supprimer la nécessité d'un modèle","Réduire la taille du dataset","Générer des labels automatiques","Éviter toute métrique","A"
"Que signifie NLP ?","NLP","facile","Natural Language Processing","Neural Logistic Pipeline","Normalized Language Parsing","Numeric Learning Process","Network Latent Prompting","A"
"Quel est le but de la tokenisation ?","NLP","facile","Découper un texte en unités manipulables","Traduire automatiquement un texte","Créer un cluster de documents","Calculer un R2","Mesurer une covariance","A"
"Quel est un exemple de stop word en français ?","NLP","facile","le","données","algorithme","régression","token","A"
"À quoi sert la suppression de ponctuation en prétraitement NLP ?","NLP","facile","Nettoyer le texte pour certaines méthodes classiques","Augmenter la taille du vocabulaire","Créer des labels de classes","Estimer une cointégration","Calculer un intervalle de confiance","A"
"Que représente un document dans un modèle bag of words ?","NLP","facile","Un vecteur de fréquences de termes","Un seul token","Un arbre de décision","Une image compressée","Une matrice de covariance","A"
"Quel format est courant pour stocker des données textuelles annotées ?","NLP","facile","JSONL","PNG","WAV","EXE","DLL","A"
"Que signifie LLM ?","LLM","facile","Large Language Model","Linear Latent Matrix","Logistic Learning Method","Layered Logic Machine","Long List Memory","A"
"À quoi sert un prompt dans un LLM ?","LLM","facile","Donner une instruction ou un contexte au modèle","Compiler le modèle","Changer ses poids en production","Mesurer son AUC","Créer un test de normalité","A"
"Quel paramètre influence la créativité des sorties d'un LLM ?","LLM","facile","La température","Le VIF","Le R2 ajusté","Le nombre de folds","Le score de silhouette","A"
"Que fait une approche RAG ?","LLM","facile","Combine génération et récupération de documents","Supprime le besoin de données","Remplace le tokenizer","Crée automatiquement des labels","Force des réponses courtes","A"
"Pourquoi limiter la taille d'un prompt ?","LLM","facile","Respecter la fenêtre de contexte","Augmenter le nombre de paramètres","Réduire le nombre de classes","Éviter la tokenisation","Supprimer la validation","A"
"Quel estimateur est souvent privilégié sous hétéroscédasticité inconnue pour l'inférence sur la moyenne ?","statistiques","avancé","Estimateur sandwich robuste","Maximum de vraisemblance conditionnelle","Estimateur de Kaplan-Meier","Méthode des moments généralisés","Filtre de Kalman","A"
"Dans un plan d'expérience factoriel complet 2^k que représente k ?","statistiques","avancé","Le nombre de facteurs étudiés","Le nombre de répétitions par cellule","La taille minimale d'échantillon","Le nombre de modalités manquantes","Le degré de liberté résiduel","A"
"Pourquoi utiliser une stratification lors d'un échantillonnage ?","statistiques","avancé","Réduire la variance d'estimation à taille fixée","Supprimer la non-réponse","Garantir la normalité des estimateurs","Éviter toute pondération","Forcer l'indépendance entre strates","A"
"Dans un modèle à retards distribués quelle est une conséquence d'un mauvais choix de longueur de retard ?","économétrie","avancé","Biais de spécification dynamique","Suppression automatique de l'endogénéité","Augmentation garantie du R2 ajusté","Stationnarité forcée des résidus","Invariance aux variables omises","A"
"Dans un modèle VAR que teste la causalité de Granger ?","économétrie","avancé","La capacité prédictive marginale d'une série pour une autre","Une causalité structurelle certaine","L'absence d'autocorrélation","L'homoscédasticité des innovations","La cointégration de long terme","A"
"Dans un modèle de panel dynamique pourquoi l'estimateur within peut-il être biaisé ?","économétrie","avancé","Biais de Nickell en petit T avec variable retardée","Absence de variance inter-individuelle","Violation systématique de la normalité","Orthogonalité parfaite des instruments","Erreur de mesure nulle","A"
"Quel problème peut survenir en ACP si plusieurs variables sont quasi colinéaires ?","analyse des données multivariée","avancé","Instabilité numérique des composantes mineures","Impossibilité de calculer la moyenne","Suppression automatique des outliers","Invalidation de toute projection","Convergence vers K-means","A"
"Dans un clustering DBSCAN que contrôle le paramètre eps ?","analyse des données multivariée","avancé","Le rayon du voisinage pour définir la densité locale","Le nombre exact de clusters attendus","La dimension latente projetée","Le taux de faux positifs","La pénalisation L2","A"
"Quel est l'intérêt de la validation de clustering par stabilité ?","analyse des données multivariée","avancé","Évaluer la robustesse des partitions à des perturbations des données","Maximiser la p-valeur globale","Remplacer la normalisation des variables","Éviter le choix de distance","Forcer des clusters équilibrés","A"
"Pourquoi la régularisation elastic net est-elle utile en présence de variables corrélées ?","machine learning","avancé","Elle combine sélection parcimonieuse et regroupement de variables","Elle annule toujours le biais","Elle remplace toute validation croisée","Elle garantit une calibration parfaite","Elle supprime les interactions","A"
"Dans une recherche bayésienne d'hyperparamètres quel est le rôle de la fonction d'acquisition ?","machine learning","avancé","Arbitrer exploration et exploitation des configurations testées","Mesurer la stationnarité des séries","Créer des variables latentes","Définir le taux d'apprentissage fixe","Remplacer la métrique d'évaluation","A"
"Que corrige principalement la méthode focal loss en classification ?","machine learning","avancé","Le déséquilibre de classes en focalisant les exemples difficiles","La multicolinéarité des features","La fuite de données temporelles","La non-linéarité des résidus","Le manque de labels","A"
"Quel est l'intérêt d'un modèle de langage masqué par rapport à un modèle auto-régressif pur ?","NLP","avancé","Exploiter le contexte bilatéral pour encoder les tokens","Générer plus vite sans décodage","Éviter toute tokenisation","Supprimer le besoin de corpus","Garantir une meilleure perplexité sur tout jeu de données","A"
"Dans un pipeline NER pourquoi le schéma BILOU peut-il aider ?","NLP","avancé","Mieux distinguer débuts fins et entités unitaires","Réduire la taille du vocabulaire","Éviter les erreurs d'accord grammatical","Remplacer l'entraînement supervisé","Supprimer les labels ambigus automatiquement","A"
"Que permet une pondération TF-IDF sous-linéaire (log TF) ?","NLP","avancé","Atténuer l'impact des très hautes fréquences de termes","Garantir des vecteurs unitaires","Remplacer l'IDF par PMI","Éliminer les stop words sans liste","Conserver l'ordre des mots","A"
"Dans une architecture Transformer quel est le bénéfice principal de l'attention multi-têtes ?","LLM","avancé","Capturer des relations différentes en parallèle","Réduire le nombre de couches à 1","Supprimer le besoin de position encoding","Garantir l'absence d'hallucination","Éviter toute régularisation","A"
"Pourquoi applique-t-on souvent un reranker cross-encoder après une recherche vectorielle en RAG ?","LLM","avancé","Améliorer la précision de pertinence sur un petit top-k","Réduire la taille des embeddings","Supprimer la phase d'indexation","Éviter le chunking","Augmenter la température de génération","A"
"Quel risque principal est visé par une évaluation de robustesse aux jailbreak prompts ?","LLM","avancé","Le contournement des politiques de sécurité du système","La baisse de perplexité hors domaine","Le surapprentissage en pré-entraînement","La dérive du tokenizer","Le coût du stockage vectoriel","A"
"Dans un test séquentiel SPRT quel est l'avantage principal ?","statistiques","avancé","Décider plus tôt en contrôlant les erreurs de type I et II","Garantir une puissance de 100%","Éliminer toute hypothèse de distribution","Remplacer les intervalles de confiance","Supprimer le besoin d'échantillonnage","A"
"Que modélise un modèle de Cox en analyse de survie ?","statistiques","avancé","Le risque instantané conditionnel","La moyenne conditionnelle de Y","La probabilité jointe stationnaire","La variance intra-individuelle","Le nombre optimal de clusters","A"
"Dans un M-estimateur robuste quel est le rôle de la fonction de perte de Huber ?","statistiques","avancé","Limiter l'influence des grandes résidus","Augmenter systématiquement la variance","Imposer une loi uniforme des erreurs","Garantir un estimateur sans biais","Supprimer la colinéarité","A"
"Pourquoi utiliser un intervalle de confiance bootstrap BCa ?","statistiques","avancé","Corriger biais et asymétrie des estimations bootstrap","Forcer une distribution gaussienne","Éviter les rééchantillonnages","Remplacer le test t en toute situation","Réduire la taille d'échantillon requise","A"
"Que mesure l'information de Fisher ?","statistiques","avancé","La courbure de la log-vraisemblance autour du paramètre","Le nombre de classes déséquilibrées","Le taux de faux positifs","La stabilité des clusters","La longueur optimale d'un prompt","A"
"Quel est l'objectif d'une correction FDR de Benjamini-Hochberg ?","statistiques","avancé","Contrôler la proportion attendue de faux rejets","Maximiser le rappel","Imposer l'indépendance des tests","Supprimer toute multiplicité","Minimiser le MSE","A"
"Dans une régression quantile que représente le coefficient à tau=0.5 ?","statistiques","avancé","L'effet sur la médiane conditionnelle","L'effet moyen marginal exact","La variance conditionnelle","Le risque de type I","Le rang des observations","A"
"Que permet le jackknife-after-bootstrap ?","statistiques","avancé","Diagnostiquer l'influence des observations","Estimer une matrice de confusion","Optimiser des hyperparamètres","Créer des embeddings contextuels","Détecter la cointégration","A"
"Quel phénomène est visé par la correction de finite population dans l'erreur-type ?","statistiques","avancé","La réduction de variance quand l'échantillonnage est sans remise","Le biais d'endogénéité","L'autocorrélation des résidus","La multicolinéarité","Le surapprentissage","A"
"Dans un modèle hiérarchique bayésien à quoi sert le pooling partiel ?","statistiques","avancé","Partager l'information entre groupes tout en conservant leur spécificité","Supprimer les effets aléatoires","Imposer des coefficients identiques","Éviter la priorisation","Remplacer la validation croisée","A"
"Que teste un test de permutation exact ?","statistiques","avancé","La significativité sous échangeabilité des labels","La normalité stricte des résidus","La présence d'endogénéité","Le meilleur nombre de clusters","La qualité des tokens","A"
"Quel est l'intérêt principal des estimateurs de variance sandwich clusterisée ?","statistiques","avancé","Rendre l'inférence robuste aux corrélations intra-groupe","Réduire la dimension des données","Forcer l'homoscédasticité","Éliminer les valeurs manquantes","Accélérer l'inférence bayésienne","A"
"Dans un modèle IV avec plusieurs instruments à quoi sert le test de Hansen J ?","économétrie","avancé","Tester les restrictions de sur-identification","Mesurer l'autocorrélation d'ordre 1","Comparer OLS et ridge","Détecter la non-stationnarité","Choisir le nombre de clusters","A"
"Quel problème traite l'estimateur Arellano-Bond ?","économétrie","avancé","Panel dynamique avec endogénéité et effets fixes","Régression logistique multinomiale","Séries stationnaires ARMA pures","Clustering sur données mixtes","Classification de texte","A"
"À quoi sert le test de Sargan en variables instrumentales ?","économétrie","avancé","Vérifier la validité globale des instruments","Mesurer le biais de sélection","Contrôler l'hétéroscédasticité","Tester la cointégration","Déterminer la taille d'échantillon","A"
"Dans un modèle à erreurs autorégressives que corrige Cochrane-Orcutt ?","économétrie","avancé","L'autocorrélation des erreurs","La multicolinéarité parfaite","Le biais d'endogénéité simultanée","L'omission de variables qualitatives","La non-linéarité des coefficients","A"
"Que signifie l'hypothèse d'exclusion d'un instrument ?","économétrie","avancé","L'instrument n'affecte Y que via la variable endogène","L'instrument est indépendant de X","L'instrument a un coefficient nul au premier stade","L'instrument est binaire","L'instrument suit une loi normale","A"
"Dans une régression sur discontinuité (RDD) quelle condition est cruciale ?","économétrie","avancé","Absence de manipulation précise autour du seuil","Variance constante des erreurs","Normalité des covariables","Aucun outlier dans Y","Nombre égal d'observations","A"
"Quel est le but d'une étude d'événement en panel ?","économétrie","avancé","Estimer la dynamique temporelle d'un traitement","Remplacer les effets fixes","Éviter les variables de contrôle","Imposer une tendance linéaire unique","Tester la normalité des résidus","A"
"Que capte un modèle probit bivarié ?","économétrie","avancé","La corrélation entre deux équations binaires","La causalité de Granger","L'inertie intra-classe","La perplexité d'un corpus","Le score BLEU","A"
"Dans un modèle de sélection de Heckman à quoi sert l'inverse du ratio de Mills ?","économétrie","avancé","Corriger le biais de sélection non aléatoire","Mesurer l'autocorrélation","Choisir les instruments forts","Réduire la variance de Y","Déterminer un seuil optimal","A"
"Pourquoi utilise-t-on des effets fixes à deux dimensions (individu et temps) ?","économétrie","avancé","Contrôler des hétérogénéités inobservées sur deux axes","Augmenter mécaniquement le R2","Éviter tout problème d'endogénéité","Supprimer les erreurs de mesure","Forcer des coefficients positifs","A"
"Dans un modèle GARCH quel paramètre gouverne la persistance de volatilité ?","économétrie","avancé","La somme des coefficients ARCH et GARCH","La constante de régression","Le nombre de variables instrumentales","Le seuil de classification","Le nombre de folds","A"
"Que vérifie un placebo test dans une stratégie causale ?","économétrie","avancé","L'absence d'effet là où il ne devrait pas y en avoir","La normalité des erreurs","La stationnarité stricte de toutes les séries","La convergence de l'optimiseur","La qualité du tokenizer","A"
"Dans une analyse factorielle confirmatoire que mesure principalement le CFI ?","analyse des données multivariée","avancé","L'amélioration d'ajustement par rapport à un modèle nul","Le taux de faux positifs","La variance expliquée par ACP","Le nombre de clusters optimaux","La perplexité d'un modèle","A"
"Quel est l'intérêt de l'algorithme EM pour modèles de mélanges gaussiens ?","analyse des données multivariée","avancé","Estimer itérativement affectations latentes et paramètres","Supprimer toute initialisation","Garantir l'optimum global","Remplacer la matrice de covariance","Éviter les outliers","A"
"Dans un modèle de classes latentes que représente l'entropie de classification ?","analyse des données multivariée","avancé","Le degré de séparation des classes assignées","Le nombre de composantes principales","La taille optimale du test set","La somme des corrélations","La puissance statistique","A"
"Pourquoi utiliser une distance de Gower ?","analyse des données multivariée","avancé","Traiter des variables mixtes numériques et catégorielles","Mesurer la causalité","Imposer une normalité multivariée","Remplacer K-means","Évaluer un classifieur","A"
"Quel est l'effet d'une contrainte d'orthogonalité en analyse factorielle ?","analyse des données multivariée","avancé","Forcer des facteurs non corrélés","Augmenter le nombre de facteurs","Réduire la taille de l'échantillon","Supprimer les variables ordinales","Stabiliser la p-valeur","A"
"Que signifie un loading croisé élevé d'une variable sur plusieurs facteurs ?","analyse des données multivariée","avancé","Interprétation factorielle ambiguë","Variable parfaitement mesurée","Absence de bruit","Colinéarité nulle","Distribution uniforme","A"
"Dans un mélange gaussien que contrôle le critère BIC ?","analyse des données multivariée","avancé","Compromis ajustement-complexité pour choisir le nombre de composantes","Le taux d'apprentissage","Le niveau de significativité alpha","La taille des mini-batchs","La température de décodage","A"
"Quel est l'intérêt de la Procrustes analysis ?","analyse des données multivariée","avancé","Aligner et comparer des configurations multivariées","Choisir la meilleure régression","Supprimer les valeurs manquantes","Tokeniser des textes","Mesurer la cointégration","A"
"Pourquoi utiliser l'isomap en réduction de dimension ?","analyse des données multivariée","avancé","Préserver des distances géodésiques non linéaires","Maximiser la p-valeur","Éviter tout hyperparamètre","Remplacer la validation croisée","Forcer des composantes orthogonaux","A"
"Que teste le coefficient de Mardia en normalité multivariée ?","analyse des données multivariée","avancé","Asymétrie et kurtosis multivariées","Autocorrélation des résidus","Biais d'endogénéité","Dépendance causale","Précision d'un classifieur","A"
"Dans une CAH pourquoi la méthode complete linkage est-elle sensible aux outliers ?","analyse des données multivariée","avancé","Elle utilise la distance maximale entre groupes","Elle impose des clusters sphériques","Elle standardise mal les variables","Elle supprime les petits groupes","Elle exige des données binaires","A"
"Quel est l'objectif du score gap statistic en clustering ?","analyse des données multivariée","avancé","Comparer la compacité observée à une référence nulle","Mesurer la corrélation partielle","Tester l'hétéroscédasticité","Évaluer un LLM","Choisir la température","A"
"Pourquoi la focal loss inclut-elle un paramètre gamma ?","machine learning","avancé","Diminuer le poids des exemples faciles","Augmenter la taille des classes minoritaires","Régler le learning rate","Imposer une calibration parfaite","Supprimer la validation","A"
"Que permet la régularisation label smoothing ?","machine learning","avancé","Réduire la surconfiance des probabilités prédites","Augmenter le nombre de classes","Éviter les embeddings","Remplacer l'optimiseur Adam","Annuler les faux négatifs","A"
"Dans un modèle gradient boosting que contrôle le paramètre subsample ?","machine learning","avancé","La fraction d'observations utilisée à chaque itération","Le nombre de classes","Le seuil de décision final","Le taux de dropout","La dimension des features","A"
"Quel est le rôle de la courbe de calibration reliability diagram ?","machine learning","avancé","Comparer probabilités prédites et fréquences observées","Mesurer la séparation des clusters","Choisir un instrument IV","Évaluer la stationnarité","Analyser la syntaxe","A"
"Pourquoi utiliser une validation nested cross-validation ?","machine learning","avancé","Éviter le biais optimiste lors de tuning et évaluation","Réduire le nombre d'hyperparamètres","Forcer un modèle linéaire","Remplacer le test final","Supprimer le déséquilibre de classes","A"
"Dans XGBoost quel est l'effet d'un min_child_weight élevé ?","machine learning","avancé","Rendre l'arbre plus conservateur et réduire le surapprentissage","Augmenter la profondeur maximale","Forcer des feuilles pures","Supprimer la régularisation","Augmenter la variance","A"
"Que permet la méthode SMOTE ?","machine learning","avancé","Sur-échantillonner la classe minoritaire via synthèse locale","Réduire la dimension des données","Corriger l'endogénéité","Optimiser la perplexité","Découper le texte en tokens","A"
"Quel est l'intérêt d'un modèle stacking ?","machine learning","avancé","Combiner plusieurs modèles via un méta-apprenant","Remplacer toute validation","Éviter les features","Forcer une métrique unique","Supprimer la phase de test","A"
"Dans une forêt aléatoire que mesure l'OOB error ?","machine learning","avancé","Une estimation interne de l'erreur de généralisation","La variance des features","Le taux de valeurs manquantes","Le nombre d'arbres optimaux","La taille du vocabulaire","A"
"Pourquoi appliquer une régularisation monotonic constraints ?","machine learning","avancé","Imposer des relations monotones cohérentes métier","Supprimer les outliers","Choisir le nombre de classes","Éviter toute feature engineering","Réduire les données d'entraînement","A"
"Que corrige l'importance permutation conditionnelle ?","machine learning","avancé","Le biais dû aux corrélations entre variables","La non-stationnarité temporelle","Le déséquilibre de classes","La fuite de labels","La multicolinéarité parfaite","A"
"Dans un modèle de séries temporelles ML pourquoi un split chronologique est-il essentiel ?","machine learning","avancé","Éviter les fuites d'information du futur","Augmenter le score F1","Réduire la dimension","Choisir un optimiseur","Tokeniser les dates","A"
"Quel est l'intérêt de l'attention sparse dans les Transformers longs contextes ?","NLP","avancé","Réduire la complexité mémoire et calcul","Supprimer le besoin de tokenisation","Garantir une meilleure BLEU","Éviter les embeddings","Augmenter la température","A"
